time;P
20230127:1010;734.4
20230127:1110;1315.9
20230127:1210;1646.1000000000001
20230127:1310;1053.4
20230127:1410;968.1999999999999
20230127:1510;1309.4
20230127:1610;0.0
20230127:1710;0.0
20230127:1810;0.0
20230127:1910;0.0
20230127:2010;0.0
20230127:2110;0.0
20230127:2210;0.0
20230127:2310;0.0
20230128:0010;0.0
20230128:0110;0.0
20230128:0210;0.0
20230128:0310;0.0
20230128:0410;0.0
20230128:0510;0.0
20230128:0610;0.0
20230128:0710;8.9
20230128:0810;3531.0
20230128:0910;5660.900000000001
20230128:1010;6829.400000000001
20230128:1110;7435.5
20230128:1210;7449.6
20230128:1310;6807.6
20230128:1410;5519.9
20230128:1510;3755.6
20230128:1610;0.0
20230128:1710;0.0
20230128:1810;0.0
20230128:1910;0.0
20230128:2010;0.0
20230128:2110;0.0
20230128:2210;0.0
20230128:2310;0.0
20230129:0010;0.0
20230129:0110;0.0
20230129:0210;0.0
20230129:0310;0.0
20230129:0410;0.0
20230129:0510;0.0
20230129:0610;0.0
20230129:0710;8.9
20230129:0810;3553.3999999999996
20230129:0910;5572.4
20230129:1010;6756.3
20230129:1110;7258.099999999999
20230129:1210;7213.8
20230129:1310;6543.9
20230129:1410;5444.299999999999
20230129:1510;3405.7
20230129:1610;0.0
20230129:1710;0.0
20230129:1810;0.0
20230129:1910;0.0
20230129:2010;0.0
20230129:2110;0.0
20230129:2210;0.0
20230129:2310;0.0
20230130:0010;0.0
20230130:0110;0.0
20230130:0210;0.0
20230130:0310;0.0
20230130:0410;0.0
20230130:0510;0.0
20230130:0610;0.0
20230130:0710;0.0
20230130:0810;4050.2999999999997
20230130:0910;4875.8
20230130:1010;6763.9
20230130:1110;7180.599999999999
20230130:1210;7142.3
20230130:1310;6559.5
20230130:1410;5517.5
20230130:1510;3744.5
20230130:1610;4.4
20230130:1710;0.0
20230130:1810;0.0
20230130:1910;0.0
20230130:2010;0.0
20230130:2110;0.0
20230130:2210;0.0
20230130:2310;0.0
20230131:0010;0.0
20230131:0110;0.0
20230131:0210;0.0
20230131:0310;0.0
20230131:0410;0.0
20230131:0510;0.0
20230131:0610;0.0
20230131:0710;17.3
20230131:0810;3601.3999999999996
20230131:0910;5784.299999999999
20230131:1010;6924.9
20230131:1110;7210.4
20230131:1210;7257.4
20230131:1310;6478.400000000001
20230131:1410;4875.6
20230131:1510;3545.2
20230131:1610;15.8
20230131:1710;0.0
20230131:1810;0.0
20230131:1910;0.0
20230131:2010;0.0
20230131:2110;0.0
20230131:2210;0.0
20230131:2310;0.0
20230201:0010;0.0
20230201:0110;0.0
20230201:0210;0.0
20230201:0310;0.0
20230201:0410;0.0
20230201:0510;0.0
20230201:0610;0.0
20230201:0710;26.099999999999998
20230201:0810;3494.1000000000004
20230201:0910;5417.1
20230201:1010;6525.4
20230201:1110;6955.2
20230201:1210;6874.9
20230201:1310;6392.200000000001
20230201:1410;5224.400000000001
20230201:1510;3563.7
20230201:1610;15.600000000000001
20230201:1710;0.0
20230201:1810;0.0
20230201:1910;0.0
20230201:2010;0.0
20230201:2110;0.0
20230201:2210;0.0
20230201:2310;0.0
20230202:0010;0.0
20230202:0110;0.0
20230202:0210;0.0
20230202:0310;0.0
20230202:0410;0.0
20230202:0510;0.0
20230202:0610;0.0
20230202:0710;35.9
20230202:0810;3604.0
20230202:0910;5606.3
